Moku,area_burnt,Year
EWA,0.15,Reference
HALELEA,0,Reference
HAMAKUA,0,Reference
HAMAKUALOA,0,Reference
HAMAKUAPOKO,0,Reference
HANA,0,Reference
HILO,5.89,Reference
HONUAULA,0,Reference
KAANAPALI,0,Reference
KAHIKINUI,0,Reference
KALAWA,0,Reference
KALUAKOI,0,Reference
KAU,4.13,Reference
KAUPO,0,Reference
KEALALOLOA,0.7,Reference
KIPAHULU,0,Reference
KOHALA,44.65,Reference
KONA HAW,4.22,Reference
KONA KAH,0,Reference
KONA KAU,0,Reference
KONA LAN,0,Reference
KONA MOL,0,Reference
KONA NIH,0,Reference
KONA OAH,0,Reference
KOOLAU KAH,0,Reference
KOOLAU KAU,0.23,Reference
KOOLAU LAN,0,Reference
KOOLAU MAU,0,Reference
KOOLAU MOL,0,Reference
KOOLAU NIH,0,Reference
KOOLAULOA,0,Reference
KOOLAUPOKO,0,Reference
KULA,0,Reference
LAHAINA,0.93,Reference
MANA,0,Reference
NAPALI,0,Reference
PALAAU,0,Reference
PUNA HAW,0,Reference
PUNA KAU,0.87,Reference
PUNA NIH,0,Reference
WAIALUA,0,Reference
WAIANAE,3.74,Reference
WAILUKU,0,Reference
EWA,0,2013
HALELEA,0,2013
HAMAKUA,0,2013
HAMAKUALOA,0,2013
HAMAKUAPOKO,0,2013
HANA,0,2013
HILO,0,2013
HONUAULA,0,2013
KAANAPALI,0,2013
KAHIKINUI,0,2013
KALAWA,0,2013
KALUAKOI,0,2013
KAU,0,2013
KAUPO,0,2013
KEALALOLOA,0,2013
KIPAHULU,0,2013
KOHALA,2.92,2013
KONA HAW,2.51,2013
KONA KAH,0,2013
KONA KAU,0,2013
KONA LAN,0,2013
KONA MOL,0,2013
KONA NIH,0,2013
KONA OAH,0,2013
KOOLAU KAH,0,2013
KOOLAU KAU,0,2013
KOOLAU LAN,0,2013
KOOLAU MAU,0,2013
KOOLAU MOL,0,2013
KOOLAU NIH,0,2013
KOOLAULOA,0,2013
KOOLAUPOKO,0,2013
KULA,0,2013
LAHAINA,0,2013
MANA,0,2013
NAPALI,0,2013
PALAAU,0,2013
PUNA HAW,0,2013
PUNA KAU,0,2013
PUNA NIH,0,2013
WAIALUA,1.04,2013
WAIANAE,0.51,2013
WAILUKU,0,2013
EWA,0.02,2019
HALELEA,0,2019
HAMAKUA,0,2019
HAMAKUALOA,0,2019
HAMAKUAPOKO,1.04,2019
HANA,0,2019
HILO,0.92,2019
HONUAULA,0.66,2019
KAANAPALI,3.22,2019
KAHIKINUI,0.03,2019
KALAWA,0,2019
KALUAKOI,0,2019
KAU,0,2019
KAUPO,0,2019
KEALALOLOA,20.57,2019
KIPAHULU,0,2019
KOHALA,0,2019
KONA HAW,0.05,2019
KONA KAH,0,2019
KONA KAU,9.79,2019
KONA LAN,0,2019
KONA MOL,0,2019
KONA NIH,0,2019
KONA OAH,0.04,2019
KOOLAU KAH,0,2019
KOOLAU KAU,0,2019
KOOLAU LAN,0,2019
KOOLAU MAU,0,2019
KOOLAU MOL,0,2019
KOOLAU NIH,0,2019
KOOLAULOA,0,2019
KOOLAUPOKO,0,2019
KULA,4.78,2019
LAHAINA,0.85,2019
MANA,0.28,2019
NAPALI,0,2019
PALAAU,0,2019
PUNA HAW,0,2019
PUNA KAU,0,2019
PUNA NIH,0,2019
WAIALUA,0.87,2019
WAIANAE,1.63,2019
WAILUKU,0,2019
