"","Moku","avg"
"1","EWA",0.498999300760297
"2","HALELEA",0.507757727644694
"3","HAMAKUA",0.558879049806669
"4","HAMAKUALOA",0.637569441199482
"5","HAMAKUAPOKO",0.588087575510371
"6","HANA",0.461410455690805
"7","HILO",0.576000348941228
"8","HONUAULA",0.418020037382819
"9","KAANAPALI",0.549295495325431
"10","KAHIKINUI",0.389256862436579
"11","KALAWA",0.373225655385094
"12","KALUAKOI",0.334553202288533
"13","KAU",0.467256783378246
"14","KAUPO",0.526463494749362
"15","KEALALOLOA",0.521051662005831
"16","KIPAHULU",0.504169906761091
"17","KOHALA",0.436223272592811
"18","KONA HAW",0.380202076178519
"19","KONA KAH",0.141189504583018
"20","KONA KAU",0.548177805360569
"21","KONA LAN",0.409520641419135
"22","KONA MOL",0.377837547436197
"23","KONA OAH",0.536762353063497
"24","KOOLAU KAH",0.134494934134899
"25","KOOLAU KAU",0.530699980426706
"26","KOOLAU LAN",0.339337558727805
"27","KOOLAU MAU",0.548753875844956
"28","KOOLAU MOL",0.485269228699998
"29","KOOLAULOA",0.494561665292166
"30","KOOLAUPOKO",0.411322279572709
"31","KULA",0.444676817673677
"32","LAHAINA",0.454659130732998
"33","MANA",0.434555345375837
"34","NAPALI",0.473998022240427
"35","PALAAU",0.428103067634327
"36","PUNA HAW",0.538779190274199
"37","PUNA KAU",0.539496288236094
"38","WAIALUA",0.527767239648464
"39","WAIANAE",0.443324963172827
"40","WAILUKU",0.449659522523179
