"","Moku","MeanNDVI13","MeanNDVI19"
"1","EWA",0.524935892057705,0.546682083664389
"2","HALELEA",0.511731275395648,0.529946114730653
"3","HAMAKUA",0.536680133699898,0.583582680469481
"4","HAMAKUALOA",0.623069821090159,0.648681634863252
"5","HAMAKUAPOKO",0.566571454803299,0.435183039841446
"6","HANA",0.400707588494859,0.535578871806416
"7","HILO",0.574758162513512,0.596549727232198
"8","HONUAULA",0.388510744563821,0.458318011326518
"9","KAANAPALI",0.537361660256448,0.604922011185268
"10","KAHIKINUI",0.370086602623334,0.387629976119851
"11","KALAWA",0.344923854061832,0.416252932402846
"12","KALUAKOI",0.367819084452056,0.384367064286597
"13","KAU",0.471595704780738,0.491399610524039
"14","KAUPO",0.51622368405371,0.54069622956283
"15","KEALALOLOA",0.470038785555379,0.395782125024277
"16","KIPAHULU",0.497756497377058,0.545679473224217
"17","KOHALA",0.407506265792582,0.494068157719335
"18","KONA HAW",0.363642270468069,0.462443039951798
"19","KONA KAH",0.117916406837011,0.199449284014867
"20","KONA KAU",0.538676691186857,0.567538498839098
"21","KONA LAN",0.377687472919646,0.433045139087522
"22","KONA MOL",0.379295049268441,0.470701654307255
"23","KONA NIH",NA,NA
"24","KONA OAH",0.55970946370698,0.593030824637604
"25","KOOLAU KAH",0.129413635947643,0.210159891744796
"26","KOOLAU KAU",0.567510941897523,0.575971537577026
"27","KOOLAU LAN",0.305047638942839,0.377900500622385
"28","KOOLAU MAU",0.519191756632884,0.570644883424263
"29","KOOLAU MOL",0.474743467685533,0.567160707488038
"30","KOOLAU NIH",NA,NA
"31","KOOLAULOA",0.49642336470515,0.534790256568144
"32","KOOLAUPOKO",0.422029278919062,0.45795193603563
"33","KULA",0.378283471636131,0.396825092121758
"34","LAHAINA",0.411957110224863,0.458080704927874
"35","MANA",0.403740280659188,0.473039034575454
"36","NAPALI",0.497943960659306,0.509044326434133
"37","PALAAU",0.43282190652263,0.477964468236312
"38","PUNA HAW",0.542050074612591,0.559599969741512
"39","PUNA KAU",0.562234527306453,0.591282454667444
"40","PUNA NIH",NA,NA
"41","WAIALUA",0.551742682423936,0.598751397187351
"42","WAIANAE",0.478050811706815,0.497176397496336
"43","WAILUKU",0.435750313369941,0.505045467892014
