"","Moku","MaxTemp13","MeanTemp13","MaxTemp19","MeanTemp19"
"1","EWA",26.24,22.0266666666667,28,22.6816666666667
"2","HALELEA",25.94,20.7966666666667,28.04,21.785
"3","HAMAKUA",25.73,20.6,26.96,21.3591666666667
"4","HAMAKUALOA",26.04,21.3666666666667,27.65,21.9866666666667
"5","HAMAKUAPOKO",26.22,20.8816666666667,27.83,21.4625
"6","HANA",26.19,22.5916666666667,27.8,23.2483333333333
"7","HILO",25.74,18.585,26.97,19.3425
"8","HONUAULA",26.21,20.125,27.81,20.7033333333333
"9","KAANAPALI",26.21,20.9283333333333,27.81,21.5325
"10","KAHIKINUI",17.37,14.6708333333333,18.37,15.0766666666667
"11","KALAWA",26.15,21.1025,27.76,21.7116666666667
"12","KALUAKOI",26.21,24.2108333333333,27.81,24.9208333333333
"13","KAU",25.68,17.3241666666667,26.92,18.0841666666667
"14","KAUPO",26.15,20.435,27.76,21.0241666666667
"15","KEALALOLOA",26.23,20.0383333333333,27.83,20.6141666666667
"16","KIPAHULU",25.96,19.1808333333333,27.57,19.73
"17","KOHALA",25.74,20.0008333333333,26.97,20.7591666666667
"18","KONA HAW",25.73,18.1983333333333,26.97,18.9583333333333
"19","KONA KAH",-Inf,NA,-Inf,NA
"20","KONA KAU",25.94,18.955,28.05,19.7483333333333
"21","KONA LAN",26.07,20.3216666666667,27.68,20.905
"22","KONA MOL",26.2,20.3558333333333,27.8,20.9391666666667
"23","KONA NIH",-Inf,NA,-Inf,NA
"24","KONA OAH",26.24,22.1533333333333,28,22.8275
"25","KOOLAU KAH",26.04,24.1775,27.59,24.8416666666667
"26","KOOLAU KAU",25.93,22.5766666666667,28.03,23.7583333333333
"27","KOOLAU LAN",26.23,21.8675,27.83,22.485
"28","KOOLAU MAU",26.22,21.3983333333333,27.82,22.0183333333333
"29","KOOLAU MOL",26.17,21.5825,27.78,22.2083333333333
"30","KOOLAU NIH",-Inf,NA,-Inf,NA
"31","KOOLAULOA",26.24,22.6258333333333,28,23.3725
"32","KOOLAUPOKO",26.24,23.3616666666667,28,24.2166666666667
"33","KULA",26.23,15.6208333333333,27.83,16.0558333333333
"34","LAHAINA",26.23,18.5483333333333,27.83,19.075
"35","MANA",25.93,19.4941666666667,28.04,20.3458333333333
"36","NAPALI",25.72,18.5408333333333,27.77,19.2875
"37","PALAAU",26.19,21.2116666666667,27.8,21.8266666666667
"38","PUNA HAW",25.73,20.1675,26.97,20.925
"39","PUNA KAU",25.92,22.1308333333333,28.02,23.265
"40","PUNA NIH",-Inf,NA,-Inf,NA
"41","WAIALUA",26.24,21.4716666666667,28,22.0416666666667
"42","WAIANAE",26.24,21.5366666666667,28,22.1183333333333
"43","WAILUKU",26.23,21.6008333333333,27.83,22.2258333333333
